initial_r_ratio,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs1,activation_mem_MB
0.0,1.0,77.418,4.755979,1.908406784,962.6086686106403,1044.2367394938296,1131.436771997216,1180.7532449974433,200.17487544503348,1274.1005859375
0.05,0.1,77.118,4.755979,1.819429376,1049.5833704392594,1140.908785357168,1235.8617308264897,1291.1255557840327,171.98726517177346,729.94921875
0.05,0.2,77.018,4.755979,1.802803712,1042.2929926967122,1138.3090828628744,1222.0822769757694,1274.5575172665488,158.7898440773277,729.94921875
0.05,0.3,76.922,4.755979,1.799830016,1037.2027798061438,1130.471068917823,1214.2288389134164,1265.694595756594,157.84104158204119,729.94921875
0.05,0.4,76.948,4.755979,1.786432,1043.4279871683084,1134.890217341159,1214.7509720163412,1265.3951282499954,149.3104273421758,729.94921875
0.05,0.5,76.838,4.755979,1.76277248,1053.0050048632677,1144.3323741763857,1222.9498896228495,1261.3012323258843,140.46553616069002,729.94921875
0.05,0.6,76.86,4.755979,1.737717248,1066.5949890833879,1159.4367795812384,1241.1135982709707,1257.7065865359134,137.3493548224631,729.94921875
0.05,0.7,76.738,4.755979,1.718646272,1077.4296329086455,1172.3226412297986,1246.412653707792,1252.8062887870612,128.76004894123565,729.94921875
0.05,0.8,76.558,4.755979,1.684681216,1083.3160848929977,1181.463299899932,1238.5081989117332,1225.589321022615,114.36497790685486,729.94921875
0.05,0.9,76.4,4.755979,1.646317056,1106.9333534347431,1204.2544944521885,1256.332718629088,1213.8278952103142,110.08579455500636,729.94921875
0.05,1.0,74.88,4.755979,1.531941376,1171.77249872711,1274.3269157515701,1317.9441357406067,1203.4027519530655,109.9484899561968,729.94921875
0.1,0.1,76.88,4.755979,1.73455616,1115.897095352668,1215.7286170984228,1298.0809508666787,1354.0887655622462,165.08798780279486,665.2421875
0.1,0.2,76.75,4.755979,1.73070592,1109.1053187945913,1213.4155439444676,1291.2155833561014,1342.0080796213215,159.8579935799981,665.2421875
0.1,0.3,76.7,4.755979,1.691043328,1121.3075091280086,1224.710093201815,1302.4089014469462,1328.0917513795487,144.9144301542515,665.2421875
0.1,0.4,76.696,4.755979,1.675535872,1133.6244375659667,1241.545084704372,1315.7063729692127,1329.1280075520942,141.8803569145255,665.2421875
0.1,0.5,76.544,4.755979,1.631451648,1157.7075160727577,1265.5152037131159,1332.3616121201176,1335.6609109739766,134.165950676315,665.2421875
0.1,0.6,76.51,4.755979,1.606027776,1177.7961364122673,1290.3892122789448,1354.6023975838862,1339.1326280568499,130.73700277252075,665.2421875
0.1,0.7,75.942,4.755979,1.542000128,1217.0189976054914,1336.2695255260871,1385.6662489431303,1321.545158401615,118.1907918744507,665.2421875
