initial_r_ratio,alpha,latency,throughput
0.0,1.0,13.243731499999999,75.5074202463256
0.05,0.0,13.143002,76.08611792039596
0.05,0.1,13.5069935,74.03572082862111
0.05,0.2,13.841217499999999,72.24797963040463
0.05,0.3,14.10443,70.89971023288427
0.05,0.4,14.1977685,70.43360370328618
0.05,0.5,14.242119500000001,70.21426831870073
0.05,0.6,14.421185,69.34242921091436
0.05,0.7,14.6112625,68.44035551342671
0.05,0.8,15.079984,66.31306770617263
0.05,0.9,15.137185500000001,66.06247905200078
0.05,1.0,14.5699665,68.6343376287104
0.1,0.0,13.022501,76.79016496140027
0.1,0.1,13.3903125,74.68085602931224
0.1,0.2,13.581847,73.62768848743474
0.1,0.3,13.9196735,71.84076551795557
0.1,0.4,13.723383,72.86832991544432
0.1,0.5,14.0158175,71.34796097337882
0.1,0.6,14.017107,71.3413973368399
0.1,0.7,14.3245235,69.81035006155702
0.1,0.8,14.366808500000001,69.60488127895627
0.1,0.9,13.967004500000002,71.59731351128296
0.1,1.0,13.396338499999999,74.64726275765577
0.15,0.0,12.773603,78.28644744947843
0.15,0.1,13.2860275,75.26704276353486
0.15,0.2,13.4382945,74.4142048680359
0.15,0.3,13.5441375,73.832682221367
0.15,0.4,13.4524495,74.3359044016482
0.15,0.5,13.586803,73.60083163051677
0.15,0.6,13.552371,73.78782649914173
0.15,0.7,13.767966000000001,72.63236995210475
0.15,0.8,13.35256,74.8920057277406
0.15,0.9,12.620028999999999,79.23912060740906
0.15,1.0,12.0255935,83.15597895438592
0.2,0.0,12.328904999999999,81.11020402866272
0.2,0.1,12.778110999999999,78.25882871106693
0.2,0.2,13.00167,76.91319653552198
0.2,0.3,12.991062,76.9760008843003
0.2,0.4,12.8261295,77.9658430861781
0.2,0.5,13.0933435,76.37468611436033
0.2,0.6,13.09303,76.37651483270106
0.2,0.7,12.825080499999999,77.97222013538239
0.2,0.8,12.456194,80.28134436570272
0.2,0.9,11.7166605,85.34855132142815
0.2,1.0,11.439418,87.41703467781315
0.25,0.0,12.0120015,83.25007285422
0.25,0.1,12.585402,79.45713613279894
0.25,0.2,12.69754,78.7554124657217
0.25,0.3,12.7405655,78.48945166523417
0.25,0.4,12.460549,80.2532857902168
0.25,0.5,12.2686855,81.50832458782973
0.25,0.6,12.023734000000001,83.16883923080799
0.25,0.7,11.801700499999999,84.73355174536077
0.25,0.8,11.127202,89.86985227732902
0.25,0.9,10.7280145,93.21389340031186
0.25,1.0,10.453753500000001,95.65942032208812
0.3,0.0,11.532564,86.7109863860283
0.3,0.1,11.989368500000001,83.40722866262722
0.3,0.2,12.165807999999998,82.1975819444134
0.3,0.3,11.975345,83.50490111140849
0.3,0.4,11.859134000000001,84.32318919745742
0.3,0.5,11.549112000000001,86.58674363881829
0.3,0.6,11.514161000000001,86.84957592654817
0.3,0.7,10.985488,91.0291832279094
0.3,0.8,10.4060165,96.09825239081641
0.3,0.9,10.324221000000001,96.85960810021403
0.3,1.0,10.183620999999999,98.19689872590507
0.35,0.0,11.2686265,88.74195981204986
0.35,0.1,11.690428,85.54006748084842
0.35,0.2,11.683508,85.5907318247225
0.35,0.3,11.532965,86.70797145400164
0.35,0.4,11.446458,87.36326993031382
0.35,0.5,11.1632235,89.5798601541929
0.35,0.6,10.9676185,91.17749673732725
0.35,0.7,10.090763500000001,99.1005289143879
0.35,0.8,9.975940999999999,100.24117023145989
0.35,0.9,9.8244045,101.78733988406117
0.35,1.0,9.798286000000001,102.0586661789623
0.4,0.0,10.941650500000002,91.39388979752185
0.4,0.1,11.304072,88.46369697574467
0.4,0.2,11.2453395,88.92572785374777
0.4,0.3,11.112539,89.98843558614283
0.4,0.4,10.9045305,91.70500279677331
0.4,0.5,10.635265,94.02680610215167
0.4,0.6,10.0758885,99.24683068892635
0.4,0.7,9.7359605,102.71200258053635
0.4,0.8,9.661970499999999,103.49855653150671
0.4,0.9,9.714422500000001,102.93972698840305
0.4,1.0,9.7279175,102.7969244188183
0.45,0.0,10.6777805,93.6524214933993
0.45,0.1,11.021107,90.73498696637279
0.45,0.2,10.9323275,91.47182976360706
0.45,0.3,10.7083455,93.38510790485793
0.45,0.4,10.4892195,95.33597804870037
0.45,0.5,10.0594365,99.4091468244767
0.45,0.6,9.6245945,103.9004812098837
0.45,0.7,9.6974095,103.120323009975
0.45,0.8,9.7041355,103.04884963735307
0.45,0.9,9.706709499999999,103.02152341120336
0.45,1.0,9.689014,103.20967644385692
0.5,0.0,10.457896,95.62152846040925
0.5,0.1,10.6359675,94.02059568158704
0.5,0.2,10.6545665,93.85646989954964
0.5,0.3,10.3481235,96.63587799275878
0.5,0.4,10.201735,98.02254224403987
0.5,0.5,9.6062695,104.09868263637617
0.5,0.6,9.6433205,103.69872078813516
0.5,0.7,9.683285999999999,103.27072855227038
0.5,0.8,9.6789625,103.31685859925585
0.5,0.9,9.68525,103.24978704731421
0.5,1.0,9.6732495,103.37787730999804
