initial_r_ratio,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs1,activation_mem_bs128,activation_mem_bs64,activation_mem_bs32,activation_mem_bs16,activation_mem_bs1
0.0,1.0,77.4,4.755979,1.908406784,947.2060125381655,1029.3411206482758,1118.7496784644661,1169.462049503778,197.44926653667218,784.66015625,392.330078125,197.1337890625,98.08251953125,6.13134765625
0.05,0.0,77.102,4.755979,1.821792768,1041.1764242265485,1141.4593278111008,1234.228859293542,1283.4268746984299,173.1791239728557,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.05,0.1,77.126,4.755979,1.819429376,1033.0325086409991,1133.4562911858136,1224.6077365935298,1276.239498468753,170.31086830239332,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.05,0.2,76.874,4.755979,1.802803712,1031.9041375428026,1128.5165885161446,1217.9823040201356,1267.4399937931973,159.27381266162377,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.05,0.3,76.932,4.755979,1.799830016,1026.1293562000394,1122.516851502875,1211.0833671495575,1257.8030937869173,154.6769381820928,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.05,0.4,76.938,4.755979,1.786432,1033.758811899417,1130.5982153531065,1212.4386349505708,1255.7260655795374,147.8974884461258,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.05,0.5,76.89,4.755979,1.76277248,1047.1692263165587,1140.487882837639,1220.0864943429099,1253.5051293902188,138.91450981420817,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.05,0.6,76.87,4.755979,1.737717248,1062.058332693703,1157.062865077531,1237.2218227131962,1251.6020441650112,135.87694859467933,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.05,0.7,76.73,4.755979,1.718646272,1075.3428288145096,1171.33633009211,1242.8922159922838,1248.7122657736372,127.4142436551835,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
0.05,0.8,76.602,4.755979,1.684681216,1083.8463238495256,1179.8686077764837,1238.2191262427375,1225.2049537311618,115.03540332317966,729.4609375,366.76171875,183.146484375,91.8857421875,5.7001953125
