initial_r,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs8,throughput_bs4,throughput_bs2,throughput_bs1,activation_mem_bs128,activation_mem_bs64,activation_mem_bs32,activation_mem_bs16,activation_mem_bs8,activation_mem_bs4,activation_mem_bs2,activation_mem_bs1
0.0,1.0,77.39,4.755979,1.908406784,1076.1672121787692,1173.99555990897,1256.948574668111,1304.583767942753,1213.8102436104678,849.4473347154586,438.9106595865623,223.82821826333634,795.76171875,397.880859375,199.9091796875,99.47021484375,49.73486328125,24.8671875,12.43359375,6.216796875
0.05,0.0,77.114,4.755979,1.821792768,1040.9166102950087,1133.6955634469416,1222.4475406110469,1288.859087078991,1128.6376011973348,664.7751639043739,336.57974700731353,171.61136713202137,730.0859375,365.90234375,184.201171875,91.8857421875,45.93994140625,22.796875,11.39892578125,5.7001953125
0.05,0.1,77.08,4.755979,1.819429376,1031.5020621168114,1128.1480166011866,1214.9922772183156,1282.781470549297,1110.9062413692661,647.6046559770492,328.83141089222534,167.04798693089612,730.0859375,365.90234375,184.201171875,91.8603515625,45.93994140625,22.796875,11.39892578125,5.7001953125
0.05,0.2,76.98,4.755979,1.802803712,1030.4799350751334,1126.408655691513,1211.5316221424719,1267.2327786457145,1058.2391454064123,606.0429692912802,307.29442401417583,155.39223470069822,730.0859375,365.90234375,184.201171875,91.63134765625,45.93994140625,22.796875,11.39892578125,5.7001953125
0.05,0.3,76.892,4.755979,1.799830016,1025.2719216579383,1121.2908720866662,1200.9069139122528,1254.719327753717,1041.1114262819508,593.8778449672766,302.0337698823587,152.8745252813686,730.0859375,365.90234375,184.201171875,91.1826171875,45.93994140625,22.796875,11.39892578125,5.7001953125
0.05,0.4,76.932,4.755979,1.786432,1031.9831937208103,1129.2704173730265,1203.0871261367222,1253.5946702476506,1020.4331551293272,576.4366571887,291.8596745200269,146.7852818559594,730.0859375,365.90234375,184.201171875,91.1826171875,45.93994140625,22.796875,11.39892578125,5.7001953125
0.05,0.5,76.882,4.755979,1.76277248,1043.401186602471,1138.7965131839605,1210.3116474494204,1251.1510374233048,972.8061928519236,546.9753406203756,276.6502783814269,139.5618899476205,730.0859375,365.90234375,184.201171875,91.1826171875,45.93994140625,22.796875,11.39892578125,5.7001953125
0.05,0.6,76.844,4.755979,1.737717248,1058.456860173605,1154.8417599088252,1227.9958665738955,1249.999981373549,956.886534235473,536.5728007370752,271.53547880878756,136.60126934222038,730.0859375,365.90234375,184.201171875,91.1826171875,45.93994140625,22.796875,11.39892578125,5.7001953125
0.05,0.7,76.754,4.755979,1.718646272,1072.77258684106,1168.0741871077307,1234.2083395127554,1245.2136856997024,903.693390481226,498.95716113714735,252.58648269457845,126.51412312883369,730.0859375,365.90234375,184.201171875,91.1826171875,45.93994140625,22.796875,11.39892578125,5.7001953125
0.05,0.8,76.582,4.755979,1.684681216,1081.4973191433842,1176.4467138627704,1230.6957853008166,1220.8968538823885,814.3813516692419,446.371984600112,226.98878554269575,114.2725496471975,730.0859375,365.90234375,184.201171875,91.1826171875,45.93994140625,22.796875,11.39892578125,5.7001953125
